"","results"
"726",0.390814747772485
"727",67
"728",NA
"729",0.976441749275694
"730",0.425175526256346
"731",0.465712967336727
"732",0.412799917453172
"733",0.734317606574247
"734",0.404486989760713
"735",0.355041750328619
"736",0.573464186300431
"737",0.526580774260485
"738",68
"739",NA
"740",0.967053823988967
"741",0.934749819369174
"742",0.858636752478114
"743",0.367413869082239
"744",0.407946698805843
"745",0.468260414970907
"746",0.568042331109174
"747",0.38994510707851
"748",0.32765623289485
"749",69
"750",NA
"751",0.974934105296357
"752",0.93611768356488
"753",0.41236477621176
"754",0.460654575530218
"755",0.59090761649767
"756",0.374274779256497
"757",0.365373792898964
"758",0.394554532250705
"759",0.389901289203563
"760",70
"761",NA
"762",0.983329791275033
"763",0.918821897203798
"764",0.775261635742196
"765",0.492002816477581
"766",0.517512693576271
"767",0.306884670592288
"768",0.697911872555364
"769",0.475481628050672
"770",0.418523034691668
"771",71
"772",NA
"773",0.977386124011542
"774",0.947774686432022
"775",0.509078193650336
"776",0.395645857462707
"777",0.573233100684642
"778",0.337360764338501
"779",0.364907501375558
"780",0.429381156670909
"781",0.358664225751011
"782",72
"783",NA
"784",0.973824820012422
"785",0.90992702808761
"786",0.495463422367183
"787",0.393199903229392
"788",0.310743079729094
"789",0.428602672232871
"790",0.383760452750544
"791",0.303764256538695
"792",0.482210210490074
"793",73
"794",NA
"795",0.975037838410406
"796",0.922413992168661
"797",0.847127895884297
"798",0.415761486370299
"799",0.488596532392088
"800",0.430805806395097
"801",0.26578886237312
"802",0.415059729224507
"803",0.403039371002758
"804",74
"805",NA
"806",0.968449879876352
"807",0.897381915590195
"808",0.887844853177452
"809",0.790245896492344
"810",0.39033436733819
"811",0.321971116403003
"812",0.53324423635907
"813",0.349891306870489
"814",0.437590938917577
"815",75
"816",NA
"817",0.966971940402213
"818",0.933826156181013
"819",0.497544135751545
"820",0.443814655582141
"821",0.47561313543862
"822",0.370499031054597
"823",0.38943169017252
"824",0.410488476160743
"825",0.470389452256495
"826",76
"827",NA
"828",0.982127028954101
"829",0.95213049573315
"830",0.470450991679089
"831",0.419393807473159
"832",0.461184691224621
"833",0.418758837506721
"834",0.470460161500326
"835",0.366507134627315
"836",0.377825326946308
"837",77
"838",NA
"839",0.960218570049356
"840",0.944266920412928
"841",0.733321691204692
"842",0.837374736467431
"843",0.541709735461889
"844",0.540938838687786
"845",0.465327738388077
"846",0.385374025481627
"847",0.412094329307688
"848",78
"849",NA
"850",0.970376517268995
"851",0.914645859124149
"852",0.505568330199446
"853",0.590127354639241
"854",0.811433110459138
"855",0.660088107192463
"856",0.444900787150824
"857",0.422030599625612
"858",0.327391687775359
"859",79
"860",NA
"861",0.959808642605391
"862",0.930176986943019
"863",0.909767087825878
"864",0.57151828552053
"865",0.444541140231152
"866",0.408747464091002
"867",0.365637475594045
"868",0.409092150109795
"869",0.32897758707388
"870",80
"871",NA
"872",0.969568648706056
"873",0.94093114293546
"874",0.474704741564143
"875",0.482053972997874
"876",0.416891185945005
"877",0.407313578582931
"878",0.485597612543502
"879",0.416678141564291
"880",0.466184406233813
"881",81
"882",NA
"883",0.972809906673679
"884",0.947108766691439
"885",0.50684486441512
"886",0.427225004345181
"887",0.473862846945356
"888",0.551138761857717
"889",0.39338388770801
"890",0.398280286675476
"891",0.464936235901521
"892",82
"893",NA
"894",0.966813693428814
"895",0.436006957990583
"896",0.505333835767423
"897",0.409170370141439
"898",0.417801723455239
"899",0.552665435717329
"900",0.432437645699668
"901",0.662168320988683
"902",0.372819961602744
"903",83
"904",NA
"905",0.969125499322176
"906",0.944493191071178
"907",0.444187750523394
"908",0.809038964945964
"909",0.557030345498098
"910",0.502578428949495
"911",0.436596163094257
"912",0.487315713977207
"913",0.401377387541093
"914",84
"915",NA
"916",0.977061785801258
"917",0.432404266274366
"918",0.755961632930478
"919",0.391301028504224
"920",0.439687262976872
"921",0.343378673231107
"922",0.577739673167213
"923",0.407780296331898
"924",0.464558559841536
"925",85
"926",NA
"927",0.973946288239855
"928",0.927951946227248
"929",0.537732603587601
"930",0.404050807864641
"931",0.608908958188331
"932",0.523169962329138
"933",0.375995660838458
"934",0.354585397129429
"935",0.346191324610503
"936",86
"937",NA
"938",0.972814485138565
"939",0.954921738819212
"940",0.490268835755122
"941",0.410381650398635
"942",0.42069227694213
"943",0.357285830052072
"944",0.426113337519482
"945",0.362466135611376
"946",0.475488623289869
"947",87
"948",NA
"949",0.982099619703837
"950",0.950356359235166
"951",0.87415216992138
"952",0.546786133445692
"953",0.424005461360104
"954",0.623539454563747
"955",0.340012088494807
"956",0.524301742038615
"957",0.403387632413823
"958",88
"959",NA
"960",0.982070537923231
"961",0.925097430546213
"962",0.57331480961128
"963",0.349257223126451
"964",0.517994771659759
"965",0.449412764023701
"966",0.329102111971593
"967",0.444395998841145
"968",0.345613600259292
"969",89
"970",NA
"971",0.983495725419433
"972",0.930306926594443
"973",0.86772841971978
"974",0.708166134878649
"975",0.484775957702624
"976",0.309190322729099
"977",0.515262625837159
"978",0.31509452725324
"979",0.374377605807013
"980",90
"981",NA
"982",0.973951089925978
"983",0.96105199159808
"984",0.919932968515965
"985",0.548473600344291
"986",0.494737473463502
"987",0.409705246948188
"988",0.391507752406307
"989",0.357301228438545
"990",0.351536281380815
"991",91
"992",NA
"993",0.97153560426347
"994",0.944927576646602
"995",0.923743549523213
"996",0.423576820057569
"997",0.348616605633905
"998",0.358560329578499
"999",0.368533669721955
"1000",0.552566321496075
"1001",0.389410205912311
"1002",92
"1003",NA
"1004",0.961354340668155
"1005",0.945385512563679
"1006",0.758961357195961
"1007",0.825257956376894
"1008",0.3168527097803
"1009",0.358890291840807
"1010",0.611820069016079
"1011",0.380225885375662
"1012",0.492191164899651
"1013",93
"1014",NA
"1015",0.977349605110589
"1016",0.955773912145999
"1017",0.46885998651002
"1018",0.491828945007014
"1019",0.341698533371056
"1020",0.375009552289926
"1021",0.343178610009224
"1022",0.492914186094858
"1023",0.733042159799637
"1024",94
"1025",NA
"1026",0.965537827350628
"1027",0.911222776079991
"1028",0.49374822002131
"1029",0.436061062678927
"1030",0.554182963041317
"1031",0.397358979687825
"1032",0.342261008398552
"1033",0.335203705357712
"1034",0.478598710793126
"1035",95
"1036",NA
"1037",0.971468291488774
"1038",0.923022915303047
"1039",0.582637314359503
"1040",0.453714946123254
"1041",0.406196321123565
"1042",0.51063904159349
"1043",0.385219120571555
"1044",0.442026611479207
"1045",0.307612659931412
"1046",96
"1047",NA
"1048",0.975047692661908
"1049",0.955287950013636
"1050",0.478789446598959
"1051",0.373087466931507
"1052",0.294473887045734
"1053",0.453722377419179
"1054",0.483923610332863
"1055",0.457603870489823
"1056",0.373602543581295
"1057",97
"1058",NA
"1059",0.972578155940033
"1060",0.922736885071497
"1061",0.919462628135492
"1062",0.903442992036023
"1063",0.294530802292264
"1064",0.436198748365572
"1065",0.408278587371571
"1066",0.424789150435634
"1067",0.452516552660913
"1068",98
"1069",NA
"1070",0.970513983158667
"1071",0.942463340741019
"1072",0.50718387776829
"1073",0.402875578945292
"1074",0.450961189540369
"1075",0.418944353714781
"1076",0.539204901575578
"1077",0.375776853324175
"1078",0.425006353175247
"1079",99
"1080",NA
"1081",0.966900596342441
"1082",0.421643417031008
"1083",0.474224490158581
"1084",0.609984764672345
"1085",0.400062231487623
"1086",0.336489185828751
"1087",0.308550815885956
"1088",0.449407279845012
"1089",0.399298559990651
"1090",100
"1091",NA
"1092",0.966833819512749
"1093",0.953525083055326
"1094",0.906567637709868
"1095",0.72144164211006
"1096",0.746033184599784
"1097",0.428364997680369
"1098",0.361785658385423
"1099",0.357296090266567
"1100",0.484095222580525
